customer_id,customer_name,email,reg_date,card_number,date_of_birth,gender
5518,Abra,Denise@bibendum.edu,2017-02-05,069-289-4592,1952-05-12,F
3347,Abra Dotson,Penelope@taciti.org,2017-04-09,659-894-5363,1956-03-26,F
3660,Abra Schwartz,Orson@feugiat.com,2019-01-16,703-569-1850,1996-03-02,F
8141,Adara,Emily@non.net,2018-10-02,524-204-1696,1990-02-25,F
5441,Adara,Jaime@egestas.edu,2018-07-23,504-533-2969,1985-04-02,F
5086,Adara,Chaney@accumsan.org,2018-07-14,036-348-1997,1984-09-07,F
3722,Addison Greer,Austin@In.com,2017-07-02,419-368-2674,1961-06-18,F
5030,Adele,Hayley@a.org,2017-08-08,995-598-2164,1963-09-14,F
8494,Adena,Deirdre@magna.us,2018-10-04,616-982-4040,1998-08-23,F
5216,Adena,Yoko@nonummy.com,2018-02-05,819-266-0332,1974-11-26,F
3339,Adena Bradford,Price@venenatis.us,2017-03-23,564-240-9076,1955-03-19,F
5077,Adria,Karen@placerat.edu,2018-02-25,262-828-2176,1990-11-27,F
3610,Adria Joyner,Summer@Cum.org,2018-10-04,838-101-4531,1989-10-15,F
3510,Adria Shannon,Otto@Praesent.edu,2018-03-12,414-485-8378,1977-01-11,F
5075,Adrian,Leslie@viverra.com,2017-05-17,519-675-5830,1983-09-10,F
5694,Aiko,Wyatt@Curabitur.org,2017-09-21,628-359-0731,1986-11-27,F
5925,Aiko,Sierra@sociis.us,2017-05-03,741-685-9253,1957-10-01,F
3336,Aileen Zamora,Declan@dui.com,2017-03-17,182-923-6770,1954-10-30,F
5934,Ainsley,Xena@lacus.net,2019-02-08,588-222-5397,1997-08-01,F
3607,Ainsley Beard,Leilani@aliquet.com,2018-09-28,740-146-8683,1989-05-28,F
8276,Akeem,Martina@volutpat.com,2017-03-02,308-521-2047,1995-07-03,F
8347,Alana,Martin@mus.com,2017-10-26,336-314-9456,1955-10-20,F
5510,Alea,Alden@inceptos.edu,2017-03-21,778-048-3644,1955-01-21,F
3447,Alexa Aguirre,Veronica@molestie.edu,2017-11-01,511-115-1387,1968-12-28,F
3476,Alexa Hancock,May@Fusce.org,2017-12-31,230-596-2784,1972-09-09,F
5650,Alexandra,Baxter@mollis.com,2017-04-07,606-835-3361,1982-08-30,F
8116,Alexis,Jorden@Etiam.net,2017-09-14,100-730-7965,1967-06-30,F
3519,Alexis Valentine,Jolene@dapibus.org,2018-03-30,523-165-2341,1978-03-06,F
8457,Alfreda,Kamal@sociis.net,2017-08-25,845-524-9605,1956-01-06,F
5393,Alfreda,Noelle@porttitor.gov,2017-08-17,953-785-4722,1964-04-09,F
5479,Alfreda,Tyler@Donec.com,2017-02-06,324-567-7492,1981-02-23,F
8471,Alfreda,Iona@mauris.org,2017-05-27,873-029-6364,1993-07-13,F
3535,Alfreda Whitfield,Sybil@litora.com,2018-05-02,280-517-4213,1980-03-21,F
8251,Alika,James@amet.net,2017-10-06,042-267-6015,1976-02-18,F
3606,Alika Henson,Evangeline@metus.com,2018-09-26,345-038-7791,1989-04-11,F
3301,Alika Rivas,Yoshi@aliquam.us,2017-01-04,021-443-0682,1950-05-13,F
8097,Aline,Unity@urna.com,2019-03-04,930-938-8301,1976-08-11,F
5470,Aline,Aidan@Lorem.com,2017-10-25,280-989-7369,1968-07-10,F
5822,Aline,Herrod@adipiscing.gov,2017-09-04,239-949-3407,1986-06-25,F
5464,Alisa,Camille@vel.net,2018-06-12,422-925-9381,1993-08-19,F
5327,Alisa,Hillary@Fusce.edu,2019-01-23,019-961-8396,1996-08-04,F
3608,Alisa Briggs,Mason@Sed.edu,2018-09-30,233-278-9925,1989-07-13,F
5557,Allegra,Olga@nisl.us,2018-06-22,533-475-7635,1993-11-16,F
8306,Alma,Sylvia@enim.net,2017-03-11,063-304-9091,1998-09-18,F
5072,Althea,Colin@In.com,2017-03-02,265-479-9112,1981-10-02,F
